"date","geography","geography code","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","N00000098 (Springfarm ward)","N00000098",916,134,98,120,30,103,344,87,22,34,19,7,8
"2011","N00000099 (Springfarm ward)","N00000099",202,81,29,37,6,20,18,11,4,6,4,0,2
"2011","N00000100 (Springfarm ward)","N00000100",277,83,31,41,9,26,58,29,4,10,4,1,5
"2011","N00000101 (Springfarm ward)","N00000101",196,48,36,36,4,20,27,25,8,9,4,1,4
"2011","N00000102 (Springfarm ward)","N00000102",252,62,40,52,10,27,50,11,14,13,8,2,3
"2011","N00000103 (Springfarm ward)","N00000103",453,140,47,71,19,50,86,40,6,21,14,1,6
"2011","N00000104 (Springfarm ward)","N00000104",233,60,29,45,11,28,44,16,5,7,4,0,3
"2011","N00000105 (Steeple ward)","N00000105",280,121,40,35,11,24,24,25,9,7,4,0,3
"2011","N00000106 (Steeple ward)","N00000106",148,53,26,21,5,13,15,15,1,7,4,0,3
"2011","N00000107 (Steeple ward)","N00000107",200,78,40,22,5,22,28,5,4,10,4,0,6
"2011","N00000108 (Steeple ward)","N00000108",205,72,13,28,10,18,51,13,5,6,4,0,2
"2011","N00000109 (Steeple ward)","N00000109",409,135,72,60,13,41,58,30,9,6,4,0,2
"2011","N00000110 (Steeple ward)","N00000110",221,79,33,39,9,19,23,19,13,8,6,0,2
"2011","N00000111 (Stiles ward)","N00000111",282,60,23,51,13,32,88,15,7,11,3,0,8
"2011","N00000112 (Stiles ward)","N00000112",302,79,56,73,9,35,43,7,17,16,8,0,8
"2011","N00000113 (Stiles ward)","N00000113",237,48,41,47,6,30,50,15,4,6,4,0,2
"2011","N00000114 (Stiles ward)","N00000114",258,74,25,47,9,28,59,16,3,11,3,2,6
"2011","N00000115 (Stiles ward)","N00000115",242,78,42,56,8,27,24,7,11,13,5,1,7
"2011","N00000116 (Stiles ward)","N00000116",223,77,36,34,14,23,28,11,5,6,2,0,4
"2011","N00000117 (Stiles ward)","N00000117",125,46,25,17,7,12,11,7,3,3,2,0,1
"2011","N00000118 (Templepatrick ward)","N00000118",291,73,21,47,11,30,100,9,8,10,7,0,3
"2011","N00000119 (Templepatrick ward)","N00000119",253,47,26,40,11,32,90,7,11,8,4,0,4
"2011","N00000120 (Templepatrick ward)","N00000120",275,60,32,46,13,27,95,2,16,8,6,0,2
"2011","N00000121 (Templepatrick ward)","N00000121",245,65,26,54,14,25,48,13,5,11,4,0,7
"2011","N00000122 (Templepatrick ward)","N00000122",385,66,41,59,14,42,150,13,12,12,7,0,5
"2011","N00000123 (Templepatrick ward)","N00000123",289,42,18,50,9,27,137,6,10,12,8,0,4
"2011","N00000124 (Templepatrick ward)","N00000124",325,100,20,37,13,37,105,13,3,9,4,0,5
"2011","N00000125 (Toome ward)","N00000125",348,104,31,59,18,45,83,8,17,18,8,2,8
"2011","N00000126 (Toome ward)","N00000126",351,102,39,54,28,46,79,3,24,22,8,0,14
"2011","N00000127 (Toome ward)","N00000127",285,84,42,50,11,29,59,10,9,10,5,0,5
"2011","N00000128 (Toome ward)","N00000128",771,221,78,126,46,91,175,34,31,47,17,2,28
"2011","N00000129 (Toome ward)","N00000129",251,124,37,33,7,19,20,11,12,6,2,0,4
"2011","N00003887 (Abbey ward)","N00003887",452,137,56,46,34,41,107,31,8,12,5,0,7
"2011","N00003888 (Abbey ward)","N00003888",218,39,24,31,7,36,72,9,8,9,5,0,4
"2011","N00003889 (Abbey ward)","N00003889",374,130,24,37,8,33,128,14,7,32,14,0,18
"2011","N00003890 (Abbey ward)","N00003890",214,100,33,13,11,16,37,4,1,7,2,1,4
"2011","N00003891 (Abbey ward)","N00003891",252,59,49,49,14,33,38,10,15,13,5,1,7
"2011","N00003892 (Abbey ward)","N00003892",206,62,37,24,13,28,31,11,3,14,6,0,8
"2011","N00003893 (Abbey ward)","N00003893",192,42,20,36,9,20,52,13,4,9,5,0,4
"2011","N00003894 (Abbey ward)","N00003894",222,73,27,35,11,25,41,10,7,8,3,1,4
"2011","N00003895 (Abbey ward)","N00003895",209,57,34,26,10,29,41,12,3,6,1,2,3
"2011","N00003896 (Ballyclare North ward)","N00003896",653,327,65,83,25,48,79,26,4,13,4,0,9
"2011","N00003897 (Ballyclare North ward)","N00003897",188,85,27,25,4,18,22,7,5,13,5,1,7
"2011","N00003898 (Ballyclare North ward)","N00003898",295,44,28,55,15,46,103,4,19,13,9,0,4
"2011","N00003899 (Ballyclare North ward)","N00003899",283,45,26,56,14,45,89,8,10,16,9,0,7
"2011","N00003900 (Ballyclare North ward)","N00003900",228,110,43,29,10,20,14,2,17,8,2,2,4
"2011","N00003901 (Ballyclare North ward)","N00003901",194,88,30,25,7,20,17,7,7,10,6,0,4
"2011","N00003902 (Ballyclare North ward)","N00003902",295,71,21,54,11,50,74,14,7,15,6,1,8
"2011","N00003903 (Ballyclare North ward)","N00003903",450,54,64,96,20,63,146,7,23,20,7,2,11
"2011","N00003904 (Ballyclare North ward)","N00003904",404,83,46,69,24,59,114,9,12,18,9,4,5
"2011","N00003905 (Ballyclare South ward)","N00003905",256,136,30,29,11,16,26,8,1,2,2,0,0
"2011","N00003906 (Ballyclare South ward)","N00003906",182,67,26,33,9,16,26,5,6,4,2,0,2
"2011","N00003907 (Ballyclare South ward)","N00003907",262,74,28,39,18,46,48,9,7,11,4,1,6
"2011","N00003908 (Ballyclare South ward)","N00003908",176,76,17,30,8,22,17,6,1,7,4,1,2
"2011","N00003909 (Ballyclare South ward)","N00003909",279,75,41,56,18,37,45,7,9,12,5,1,6
"2011","N00003910 (Ballyclare South ward)","N00003910",214,98,36,26,12,16,21,5,3,10,5,0,5
"2011","N00003911 (Ballyclare South ward)","N00003911",957,183,127,157,39,129,287,35,31,38,21,2,15
"2011","N00003912 (Ballyclare South ward)","N00003912",358,67,30,58,20,60,112,11,11,6,4,0,2
"2011","N00003913 (Ballyclare South ward)","N00003913",208,93,24,33,6,20,28,4,2,2,0,0,2
"2011","N00003914 (Ballyduff ward)","N00003914",274,54,48,37,29,47,47,12,6,14,6,1,7
"2011","N00003915 (Ballyduff ward)","N00003915",219,82,49,33,6,15,25,9,11,9,2,1,6
"2011","N00003916 (Ballyduff ward)","N00003916",296,42,52,66,19,33,75,9,18,18,8,2,8
"2011","N00003917 (Ballyduff ward)","N00003917",223,73,26,37,16,26,33,12,9,7,1,1,5
"2011","N00003918 (Ballyduff ward)","N00003918",214,81,38,37,6,28,20,4,4,3,2,1,0
"2011","N00003919 (Ballyduff ward)","N00003919",250,69,21,42,20,22,60,16,5,13,6,2,5
"2011","N00003920 (Ballyduff ward)","N00003920",247,44,41,51,11,39,42,19,8,11,6,2,3
"2011","N00003921 (Ballyduff ward)","N00003921",264,50,32,51,20,37,58,16,8,7,5,0,2
"2011","N00003922 (Ballyduff ward)","N00003922",250,57,46,40,16,33,44,14,6,12,9,1,2
"2011","N00003923 (Ballyhenry ward)","N00003923",234,37,36,35,13,32,72,9,3,6,6,0,0
"2011","N00003924 (Ballyhenry ward)","N00003924",256,87,36,41,11,30,37,14,11,12,7,0,5
"2011","N00003925 (Ballyhenry ward)","N00003925",231,56,37,29,15,29,62,3,5,12,8,0,4
"2011","N00003926 (Ballyhenry ward)","N00003926",253,52,22,44,14,46,70,5,12,14,4,1,9
"2011","N00003927 (Ballyhenry ward)","N00003927",257,47,37,43,8,34,77,11,10,9,4,2,3
"2011","N00003928 (Ballyhenry ward)","N00003928",389,129,43,60,16,43,68,30,7,13,6,1,6
"2011","N00003929 (Ballyhenry ward)","N00003929",215,49,36,26,10,25,57,12,6,11,5,2,4
"2011","N00003930 (Ballyhenry ward)","N00003930",261,65,27,35,23,39,56,16,5,11,7,1,3
"2011","N00003931 (Ballyhenry ward)","N00003931",185,89,18,24,13,22,17,2,4,5,3,0,2
"2011","N00003932 (Ballynure ward)","N00003932",289,72,29,36,14,29,94,15,2,9,4,0,5
"2011","N00003933 (Ballynure ward)","N00003933",688,112,69,117,40,89,244,17,24,35,11,3,21
"2011","N00003934 (Ballynure ward)","N00003934",270,76,26,47,20,32,63,6,11,11,3,2,6
"2011","N00003935 (Ballynure ward)","N00003935",308,67,35,52,16,38,88,12,13,14,3,2,9
"2011","N00003936 (Ballynure ward)","N00003936",684,126,71,116,43,73,238,17,20,14,7,1,6
"2011","N00003937 (Ballynure ward)","N00003937",288,74,23,50,12,31,83,15,9,13,7,0,6
"2011","N00003938 (Ballyrobert ward)","N00003938",222,43,25,28,16,32,67,11,2,8,6,0,2
"2011","N00003939 (Ballyrobert ward)","N00003939",309,70,17,61,15,41,96,9,15,9,8,1,0
"2011","N00003940 (Ballyrobert ward)","N00003940",271,83,28,32,17,20,78,13,10,14,6,1,7
"2011","N00003941 (Ballyrobert ward)","N00003941",316,70,37,38,19,46,94,12,8,23,12,1,10
"2011","N00003942 (Ballyrobert ward)","N00003942",346,51,32,57,20,61,118,7,12,24,7,2,15
"2011","N00003943 (Ballyrobert ward)","N00003943",529,125,74,87,23,58,143,19,16,15,8,1,6
"2011","N00003944 (Ballyrobert ward)","N00003944",315,93,41,58,12,31,70,10,6,12,4,1,7
"2011","N00003945 (Ballyrobert ward)","N00003945",285,97,34,48,21,28,45,12,2,18,7,0,11
"2011","N00003946 (Ballyrobert ward)","N00003946",340,35,45,74,18,57,98,13,14,13,5,2,6
"2011","N00003947 (Ballyrobert ward)","N00003947",453,73,53,76,25,79,135,12,14,19,7,2,10
"2011","N00003948 (Burnthill ward)","N00003948",268,83,38,41,24,36,40,6,10,9,4,1,4
"2011","N00003949 (Burnthill ward)","N00003949",236,46,30,41,18,33,53,15,9,13,5,0,8
"2011","N00003950 (Burnthill ward)","N00003950",242,52,27,42,11,41,61,8,8,10,5,2,3
"2011","N00003951 (Burnthill ward)","N00003951",215,77,31,30,12,22,34,9,5,6,2,0,4
"2011","N00003952 (Burnthill ward)","N00003952",224,69,20,39,19,24,45,8,4,11,2,0,9
"2011","N00003953 (Burnthill ward)","N00003953",235,79,26,28,15,26,46,15,7,8,3,0,5
"2011","N00003954 (Burnthill ward)","N00003954",194,68,19,26,10,18,42,11,3,5,2,0,3
"2011","N00003955 (Burnthill ward)","N00003955",220,61,21,28,13,32,57,8,5,6,4,0,2
"2011","N00003956 (Burnthill ward)","N00003956",251,64,40,54,14,26,45,8,11,19,11,2,6
"2011","N00003957 (Carnmoney ward)","N00003957",171,75,32,20,5,15,16,8,8,4,2,2,0
"2011","N00003958 (Carnmoney ward)","N00003958",399,160,75,64,8,39,41,12,12,20,8,4,8
"2011","N00003959 (Carnmoney ward)","N00003959",217,72,25,29,12,25,44,10,5,7,1,1,5
"2011","N00003960 (Carnmoney ward)","N00003960",227,63,22,45,15,34,44,4,3,4,2,0,2
"2011","N00003961 (Carnmoney ward)","N00003961",258,84,29,34,17,30,51,13,4,8,4,4,0
"2011","N00003962 (Carnmoney ward)","N00003962",570,122,75,89,33,76,151,24,14,28,18,1,9
"2011","N00003963 (Carnmoney ward)","N00003963",254,64,29,49,16,32,47,17,7,7,3,1,3
"2011","N00003964 (Cloughfern ward)","N00003964",267,101,49,51,4,28,28,6,6,12,4,1,7
"2011","N00003965 (Cloughfern ward)","N00003965",296,54,32,48,22,38,93,9,3,11,7,0,4
"2011","N00003966 (Cloughfern ward)","N00003966",238,109,38,33,9,25,16,8,7,3,1,1,1
"2011","N00003967 (Cloughfern ward)","N00003967",279,15,23,60,13,54,108,6,11,26,13,1,12
"2011","N00003968 (Cloughfern ward)","N00003968",228,77,32,35,13,22,39,10,8,9,3,0,6
"2011","N00003969 (Cloughfern ward)","N00003969",221,76,31,35,16,24,28,11,6,6,4,0,2
"2011","N00003970 (Cloughfern ward)","N00003970",260,74,25,46,20,41,40,14,7,9,4,0,5
"2011","N00003971 (Cloughfern ward)","N00003971",238,77,35,29,19,32,37,9,6,16,9,2,5
"2011","N00003972 (Cloughfern ward)","N00003972",257,116,44,30,17,21,22,7,9,5,2,0,3
"2011","N00003973 (Collinbridge ward)","N00003973",285,56,23,44,15,43,92,12,9,21,13,0,8
"2011","N00003974 (Collinbridge ward)","N00003974",474,47,69,84,14,81,161,18,21,47,25,8,14
"2011","N00003975 (Collinbridge ward)","N00003975",289,52,47,50,9,41,83,7,13,13,7,2,4
"2011","N00003976 (Collinbridge ward)","N00003976",258,53,46,53,15,25,57,9,14,13,4,2,7
"2011","N00003977 (Collinbridge ward)","N00003977",237,47,26,41,13,51,51,8,13,16,10,0,6
"2011","N00003978 (Collinbridge ward)","N00003978",288,45,32,41,15,49,90,16,13,20,12,0,8
"2011","N00003979 (Collinbridge ward)","N00003979",280,80,22,49,12,40,66,11,11,19,9,0,10
"2011","N00003980 (Collinbridge ward)","N00003980",328,66,31,47,19,55,96,14,8,19,7,0,12
"2011","N00003981 (Coole ward)","N00003981",223,98,21,31,11,28,24,10,10,1,0,0,1
"2011","N00003982 (Coole ward)","N00003982",180,35,38,26,11,28,31,11,2,5,4,1,0
"2011","N00003983 (Coole ward)","N00003983",211,92,33,25,15,17,25,4,3,6,3,0,3
"2011","N00003984 (Coole ward)","N00003984",293,118,49,34,12,28,35,17,9,13,5,4,4
"2011","N00003985 (Coole ward)","N00003985",220,92,43,30,5,24,20,6,7,5,1,1,3
"2011","N00003986 (Coole ward)","N00003986",199,97,26,18,10,18,15,15,3,1,0,0,1
"2011","N00003987 (Coole ward)","N00003987",213,89,42,29,10,19,19,5,10,5,1,0,4
"2011","N00003988 (Coole ward)","N00003988",229,109,30,27,13,30,11,9,6,5,3,1,1
"2011","N00003989 (Coole ward)","N00003989",155,71,23,28,7,11,13,2,1,3,3,0,0
"2011","N00003990 (Doagh ward)","N00003990",346,61,42,52,13,51,116,11,8,15,10,0,5
"2011","N00003991 (Doagh ward)","N00003991",239,109,23,33,6,28,39,1,6,5,0,2,3
"2011","N00003992 (Doagh ward)","N00003992",292,70,30,42,14,34,92,10,4,13,7,0,6
"2011","N00003993 (Doagh ward)","N00003993",330,61,40,57,13,46,105,8,9,16,10,0,6
"2011","N00003994 (Doagh ward)","N00003994",280,41,26,55,17,43,91,7,17,15,8,0,7
