"date","geography","geography code","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 8. Process plant and machine operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value"
"2011","Lochside and Lincluden - 03","S01007576",228,7,10,14,17,30,30,35,28,57
"2011","Lochside and Lincluden - 04","S01007577",251,9,11,10,21,37,36,36,26,65
"2011","Lochside and Lincluden - 05","S01007578",278,14,6,9,19,50,34,33,45,68
"2011","Lochside and Lincluden - 06","S01007579",281,11,17,27,22,33,45,45,33,48
"2011","Lochside and Lincluden - 07","S01007580",334,22,11,13,24,49,49,45,55,66
"2011","Lochside and Lincluden - 08","S01007581",218,9,9,8,16,43,31,36,27,39
"2011","Summerville - 01","S01007582",300,12,15,18,28,40,55,43,41,48
"2011","Summerville - 02","S01007583",416,12,22,17,33,55,64,61,55,97
"2011","Summerville - 03","S01007584",292,15,25,20,26,30,32,43,44,57
"2011","Summerville - 04","S01007585",409,25,59,30,60,58,56,33,36,52
"2011","Summerville - 05","S01007586",373,20,32,37,30,45,51,57,37,64
"2011","Summerville - 06","S01007587",324,25,67,47,29,46,42,17,16,35
"2011","Troqueer - 01","S01007588",399,41,116,48,33,34,32,36,17,42
"2011","Troqueer - 02","S01007589",422,34,88,53,45,34,49,30,27,62
"2011","Troqueer - 03","S01007590",284,33,79,43,33,28,27,12,15,14
"2011","Troqueer - 04","S01007591",318,16,64,30,32,36,38,22,32,48
"2011","Troqueer - 05","S01007592",328,12,39,30,24,41,57,43,29,53
"2011","New Abbey - 01","S01007593",497,42,78,57,44,72,69,58,33,44
"2011","New Abbey - 02","S01007594",434,46,60,46,52,62,46,39,40,43
"2011","New Abbey - 03","S01007595",561,42,86,70,41,114,59,35,51,63
"2011","New Abbey - 04","S01007596",239,30,27,24,21,47,30,10,18,32
"2011","Kingholm - 01","S01007597",327,30,57,47,32,65,25,25,20,26
"2011","Kingholm - 02","S01007598",332,31,56,36,35,58,38,21,28,29
"2011","Kingholm - 03","S01007599",429,31,86,47,41,44,56,52,30,42
"2011","Kingholm - 04","S01007600",517,54,158,47,54,58,36,31,34,45
"2011","Calside - 01","S01007601",401,28,72,46,44,46,47,46,35,37
"2011","Calside - 02","S01007602",367,18,75,32,55,52,41,24,32,38
"2011","Calside - 03","S01007603",484,39,106,77,65,47,34,43,42,31
"2011","Calside - 04","S01007604",456,32,89,58,71,62,45,41,24,34
"2011","Georgetown - 01","S01007605",457,35,81,49,60,51,56,46,40,39
"2011","Georgetown - 02","S01007606",309,20,63,38,38,40,29,16,27,38
"2011","Georgetown - 03","S01007607",388,25,72,45,52,53,41,32,37,31
"2011","Georgetown - 04","S01007608",406,22,76,52,51,39,48,38,37,43
"2011","Dumfries Central - 01","S01007609",424,27,38,36,43,44,76,48,43,69
"2011","Dumfries Central - 02","S01007610",217,13,39,22,15,29,30,19,22,28
"2011","Dumfries Central - 03","S01007611",386,20,49,24,33,48,59,39,48,66
"2011","Dumfries Central - 04","S01007612",530,23,60,57,53,57,45,70,56,109
"2011","Nunholm - 01","S01007613",392,48,97,43,35,40,25,44,20,40
"2011","Nunholm - 02","S01007614",423,54,123,73,52,35,24,23,12,27
"2011","Nunholm - 03","S01007615",530,58,91,66,55,58,61,46,34,61
"2011","Nunholm - 04","S01007616",367,25,43,40,42,51,53,43,22,48
"2011","Locharbriggs - 01","S01007617",249,9,22,15,28,28,33,37,37,40
"2011","Locharbriggs - 02","S01007618",263,9,21,14,25,38,36,32,37,51
"2011","Locharbriggs - 03","S01007619",297,9,18,16,29,45,32,37,44,67
"2011","Locharbriggs - 04","S01007620",314,17,42,39,46,42,44,26,35,23
"2011","Locharbriggs - 05","S01007621",328,19,35,28,49,54,27,28,39,49
"2011","Heathhall - 01","S01007622",275,18,27,30,38,37,34,21,42,28
"2011","Heathhall - 02","S01007623",319,25,63,41,32,42,39,21,21,35
"2011","Heathhall - 03","S01007624",394,26,51,45,54,49,45,41,49,34
"2011","Heathhall - 04","S01007625",278,27,41,24,31,36,26,26,41,26
"2011","Heathhall - 05","S01007626",397,26,56,49,53,48,36,33,61,35
"2011","Collin - 01","S01007627",295,29,46,48,34,42,31,27,23,15
"2011","Collin - 02","S01007628",330,23,44,46,43,55,32,29,23,35
"2011","Collin - 03","S01007629",359,36,46,52,37,54,26,27,42,39
"2011","Collin - 04","S01007630",463,40,79,45,48,104,44,25,27,51
"2011","Lochmaben - 01","S01007631",311,34,54,27,36,65,27,14,26,28
"2011","Lochmaben - 02","S01007632",462,49,55,38,38,70,48,47,63,54
"2011","Lochmaben - 03","S01007633",454,28,56,38,43,76,56,45,52,60
"2011","Lochmaben - 04","S01007634",290,16,59,25,28,53,21,14,33,41
"2011","Lockerbie - 01","S01007635",268,28,46,23,23,43,29,20,26,30
"2011","Lockerbie - 02","S01007636",360,31,41,32,37,44,38,36,45,56
"2011","Lockerbie - 03","S01007637",404,22,30,24,38,80,50,28,58,74
"2011","Lockerbie - 04","S01007638",361,24,41,33,38,58,37,35,48,47
"2011","Lockerbie - 05","S01007639",512,33,46,30,51,71,59,55,89,78
"2011","Lockerbie - 06","S01007640",362,14,43,23,42,107,27,21,30,55
"2011","Moffat - 01","S01007641",404,48,51,31,42,71,36,32,36,57
"2011","Moffat - 02","S01007642",361,58,58,35,24,44,28,22,34,58
"2011","Moffat - 03","S01007643",430,71,64,41,21,67,49,32,32,53
"2011","Moffat - 04","S01007644",344,46,49,21,29,63,34,23,26,53
"2011","Moffat - 05","S01007645",270,34,37,24,27,58,16,19,24,31
"2011","Langholm and Eskdale - 01","S01007646",295,35,31,28,38,69,25,13,16,40
"2011","Langholm and Eskdale - 02","S01007647",335,31,48,42,42,46,25,26,35,40
"2011","Langholm and Eskdale - 03","S01007648",436,34,44,44,61,64,51,25,45,68
"2011","Langholm and Eskdale - 04","S01007649",379,23,30,23,38,75,48,18,50,74
"2011","Langholm and Eskdale - 05","S01007650",486,43,52,57,51,78,32,34,51,88
"2011","Annandale East - 01","S01007651",307,23,32,22,30,90,27,21,23,39
"2011","Annandale East - 02","S01007652",251,26,23,21,24,54,22,25,21,35
"2011","Annandale East - 03","S01007653",465,30,42,38,39,113,51,43,49,60
"2011","Annandale East - 04","S01007654",502,45,37,34,36,92,49,46,74,89
"2011","Annandale East - 05","S01007655",396,42,49,27,36,117,26,18,34,47
"2011","Annandale West - 01","S01007656",409,23,44,33,32,114,38,27,42,56
"2011","Annandale West - 02","S01007657",238,22,31,21,21,51,24,22,19,27
"2011","Annandale West - 03","S01007658",245,23,38,19,22,58,20,14,23,28
"2011","Annandale West - 04","S01007659",359,23,57,25,39,66,45,21,49,34
"2011","Annan West - 01","S01007660",393,13,13,27,22,65,55,46,90,62
"2011","Annan West - 02","S01007661",327,24,34,22,46,54,32,24,47,44
"2011","Annan West - 03","S01007662",382,26,36,43,42,52,42,28,63,50
"2011","Annan West - 04","S01007663",396,34,50,43,45,64,36,33,47,44
"2011","Annan East - 01","S01007664",267,21,15,24,17,46,24,25,47,48
"2011","Annan East - 02","S01007665",317,25,23,19,36,52,32,41,47,42
"2011","Annan East - 03","S01007666",243,17,41,25,31,32,27,19,22,29
"2011","Annan East - 04","S01007667",377,19,50,66,49,53,46,26,50,18
"2011","Annan East - 05","S01007668",469,16,27,36,39,67,62,49,97,76
"2011","Annan East - 06","S01007669",259,8,16,13,12,39,37,19,71,44
"2011","Annan East - 07","S01007670",302,14,23,12,25,47,37,31,54,59
"2011","Annan East - 08","S01007671",390,49,70,40,33,76,23,28,41,30
"2011","Eastriggs - 01","S01007672",381,29,70,59,41,50,39,27,31,35
"2011","Eastriggs - 02","S01007673",395,25,37,42,53,69,25,44,52,48
"2011","Eastriggs - 03","S01007674",358,13,18,16,35,69,40,41,69,57
"2011","Eastriggs - 04","S01007675",308,33,31,30,32,52,19,39,42,30
"2011","Gretna - 01","S01007676",384,42,38,32,36,95,22,39,37,43
"2011","Gretna - 02","S01007677",251,25,23,17,27,44,27,30,36,22
"2011","Gretna - 03","S01007678",345,22,13,18,33,55,33,56,50,65
"2011","Gretna - 04","S01007679",313,14,18,22,22,38,32,46,65,56
"2011","Gretna - 05","S01007680",501,45,45,42,53,78,29,74,72,63
"2011","Gretna - 06","S01007681",218,22,10,12,25,40,17,22,31,39
"2011","Doon Valley South - 01","S01007870",274,22,27,23,22,46,48,21,35,30
"2011","Doon Valley South - 02","S01007871",209,10,13,3,7,33,50,19,20,54
"2011","Doon Valley South - 03","S01007872",222,11,17,9,13,26,65,20,22,39
"2011","Doon Valley South - 04","S01007873",307,12,24,27,28,49,65,19,26,57
"2011","Doon Valley South - 05","S01007874",293,10,20,24,30,50,53,23,36,47
"2011","Doon Valley North - 01","S01007875",257,17,35,30,29,25,28,25,26,42
"2011","Doon Valley North - 02","S01007876",468,30,65,67,55,72,63,42,27,47
"2011","Doon Valley North - 03","S01007877",326,16,28,23,23,53,61,33,40,49
"2011","Doon Valley North - 04","S01007878",249,16,26,14,14,30,66,20,31,32
"2011","Doon Valley North - 05","S01007879",273,10,17,13,19,40,69,21,43,41
"2011","Doon Valley North - 06","S01007880",197,20,30,32,18,41,17,5,15,19
"2011","Mauchline Rural - 01","S01007881",216,15,24,15,20,41,32,17,25,27
"2011","Mauchline Rural - 02","S01007882",421,51,86,38,39,95,26,21,24,41
"2011","Mauchline Rural - 03","S01007883",537,47,79,51,65,84,63,43,52,53
"2011","Mauchline Rural - 04","S01007884",301,14,25,25,42,48,50,23,39,35
"2011","Mauchline Rural - 05","S01007885",268,11,24,26,16,37,42,19,35,58
"2011","Mauchline Rural - 06","S01007886",394,23,52,37,50,67,64,23,38,40
"2011","Mauchline Rural - 07","S01007887",307,31,48,34,28,80,28,17,16,25
"2011","Drongan - 01","S01007888",418,10,22,20,23,73,72,52,51,95
"2011","Drongan - 02","S01007889",218,8,11,19,19,32,34,24,33,38
"2011","Drongan - 03","S01007890",346,18,31,30,28,58,39,48,40,54
"2011","Drongan - 04","S01007891",418,32,40,50,48,72,64,28,39,45
"2011","Mauchline - 01","S01007892",378,28,62,48,47,63,32,34,26,38
"2011","Mauchline - 02","S01007893",487,47,104,47,50,82,52,37,37,31
"2011","Mauchline - 03","S01007894",450,16,59,33,46,82,56,35,57,66
"2011","Mauchline - 04","S01007895",240,29,32,30,23,28,30,20,23,25
"2011","Mauchline - 05","S01007896",331,12,28,30,25,49,61,27,58,41
"2011","Cumnock Rural - 01","S01007897",230,20,40,28,20,55,17,9,18,23
"2011","Cumnock Rural - 02","S01007898",233,21,27,19,20,61,34,8,22,21
"2011","Cumnock Rural - 03","S01007899",199,18,23,12,24,53,20,9,26,14
"2011","Cumnock Rural - 04","S01007900",214,7,18,12,16,30,45,14,44,28
"2011","Cumnock Rural - 05","S01007901",291,11,19,16,31,48,48,22,52,44
"2011","Cumnock Rural - 06","S01007902",323,7,18,21,32,59,52,28,63,43
"2011","Cumnock Rural - 07","S01007903",228,18,12,20,32,42,30,15,38,21
"2011","Cumnock Rural - 08","S01007904",398,32,78,48,36,93,29,16,39,27
"2011","New Cumnock - 01","S01007905",232,7,10,11,11,28,39,25,59,42
"2011","New Cumnock - 02","S01007906",261,11,14,18,19,44,38,20,59,38
"2011","New Cumnock - 03","S01007907",218,10,18,10,23,27,32,16,48,34
"2011","New Cumnock - 04","S01007908",380,32,38,29,28,63,60,24,61,45
"2011","Cumnock South and Craigens - 01","S01007909",241,8,14,21,23,33,41,15,46,40
"2011","Cumnock South and Craigens - 02","S01007910",351,22,29,21,30,64,60,22,41,62
"2011","Cumnock South and Craigens - 03","S01007911",355,26,32,38,46,46,54,26,49,38
"2011","Cumnock South and Craigens - 04","S01007912",348,16,29,31,32,44,76,24,57,39
"2011","Cumnock South and Craigens - 05","S01007913",237,8,15,13,24,38,27,21,43,48
"2011","Cumnock South and Craigens - 06","S01007914",239,7,20,16,24,31,37,22,35,47
"2011","Cumnock South and Craigens - 07","S01007915",374,14,34,23,42,61,83,29,40,48
"2011","Cumnock North - 01","S01007916",302,8,34,31,36,37,48,30,30,48
"2011","Cumnock North - 02","S01007917",369,20,25,26,37,51,71,21,62,56
"2011","Cumnock North - 03","S01007918",413,21,51,42,59,60,61,22,48,49
"2011","Cumnock North - 04","S01007919",383,36,85,58,53,49,24,28,31,19
"2011","Cumnock North - 05","S01007920",314,29,48,46,46,50,30,12,32,21
"2011","Auchinleck - 01","S01007921",358,8,22,21,25,69,76,24,45,68
"2011","Auchinleck - 02","S01007922",332,12,24,24,30,54,56,25,47,60
"2011","Auchinleck - 03","S01007923",495,38,64,42,46,92,68,45,51,49
"2011","Auchinleck - 04","S01007924",379,21,35,29,31,59,60,34,42,68
